Method,Accuracy,Improvement (pp),AIQ (%)
Uniform Ensemble,0.581758034026465,11.468178954001257,21.519361513449596
ABW,0.8486137366099559,38.15374921235035,71.5932604197458
SPW,0.581758034026465,11.468178954001257,21.519361513449596
Hybrid,0.847511027095148,38.04347826086956,71.38634348211646
Top-K,0.8501890359168242,38.311279143037176,71.88885604493053
